ticket_id,start_date,resolve_date,priority,category,sub_category,department,assignee_team,sla_status,resolution_time_hrs,customer_impact,major_event,is_holiday,is_weekend,day_of_week,month,ticket_volume_day
TCKT_0044,2025-09-04 21:48:13,2025-09-05 11:48:13,High,Software,Update Error,IT,App Support,Breached,14.0,High,Security Patch,1,0,Thursday,9,199
TCKT_0045,2025-07-24 03:27:29,2025-07-25 14:27:29,High,Access,Account Lock,IT,Infra Team,Breached,35.0,High,Security Patch,0,0,Thursday,7,144
TCKT_0046,2025-04-23 12:10:43,2025-04-23 20:10:43,Low,Hardware,Printer Issue,HR,Hardware Support,Breached,8.0,Medium,None,0,0,Wednesday,4,216
TCKT_0047,2025-04-14 23:51:58,2025-04-16 22:51:58,High,Access,Account Lock,Admin,Hardware Support,Breached,47.0,Low,System Upgrade,1,0,Monday,4,131
TCKT_0048,2025-10-05 04:41:15,2025-10-05 10:41:15,Critical,Software,Update Error,Admin,App Support,Breached,6.0,Medium,None,0,1,Sunday,10,125
TCKT_0049,2025-07-24 17:22:09,2025-07-25 10:22:09,High,Software,UI Bug,HR,Hardware Support,Met,17.0,High,Product Launch,0,0,Thursday,7,213
TCKT_0050,2024-11-25 03:49:26,2024-11-26 13:49:26,Medium,Software,App Crash,Admin,Infra Team,Breached,34.0,Medium,Security Patch,1,0,Monday,11,171
TCKT_0051,2025-03-28 19:31:17,2025-03-31 13:31:17,Low,Software,UI Bug,Admin,Hardware Support,Met,66.0,Low,None,1,0,Friday,3,250
TCKT_0052,2025-05-12 02:33:50,2025-05-13 05:33:50,Low,Network,Router Failure,Finance,App Support,Breached,27.0,Medium,Product Launch,1,0,Monday,5,141
TCKT_0053,2025-07-01 21:48:52,2025-07-02 13:48:52,Medium,Software,App Crash,Finance,Infra Team,Breached,16.0,High,None,0,0,Tuesday,7,180
TCKT_0054,2025-02-11 09:41:31,2025-02-12 01:41:31,Medium,Hardware,Monitor Issue,IT,Infra Team,Met,16.0,Low,Security Patch,1,0,Tuesday,2,150
TCKT_0055,2025-07-28 06:15:16,2025-07-28 18:15:16,Medium,Access,Password Reset,Finance,Hardware Support,Breached,12.0,Medium,Server Maintenance,0,0,Monday,7,168
TCKT_0056,2024-11-19 20:20:52,2024-11-20 02:20:52,High,Access,Account Lock,IT,Infra Team,Met,6.0,Medium,System Upgrade,1,0,Tuesday,11,237
TCKT_0057,2024-12-16 14:47:08,2024-12-19 13:47:08,Critical,Network,Server Down,Finance,Hardware Support,Breached,71.0,Low,Server Maintenance,1,0,Monday,12,122
TCKT_0058,2025-01-18 08:50:14,2025-01-21 06:50:14,Low,Access,Account Lock,Finance,App Support,Breached,70.0,Low,None,0,1,Saturday,1,243
TCKT_0059,2024-12-03 16:45:01,2024-12-04 12:45:01,Medium,Hardware,Keyboard Issue,HR,Hardware Support,Breached,20.0,Low,None,1,0,Tuesday,12,248
TCKT_0060,2025-08-13 13:57:38,2025-08-14 19:57:38,Low,Software,App Crash,Finance,Infra Team,Breached,30.0,Medium,None,1,0,Wednesday,8,229
TCKT_0061,2025-01-26 02:13:30,2025-01-27 16:13:30,High,Hardware,Monitor Issue,IT,App Support,Met,38.0,Medium,System Upgrade,0,1,Sunday,1,185
TCKT_0062,2025-03-13 18:26:45,2025-03-15 17:26:45,Medium,Software,Login Issue,Finance,Infra Team,Breached,47.0,Medium,Security Patch,1,0,Thursday,3,125
TCKT_0063,2025-01-24 01:36:40,2025-01-24 05:36:40,Medium,Software,UI Bug,Admin,Hardware Support,Breached,4.0,High,Server Maintenance,1,0,Friday,1,224
TCKT_0064,2025-03-31 21:20:25,2025-04-01 12:20:25,Medium,Access,Access Request,IT,App Support,Breached,15.0,High,System Upgrade,0,0,Monday,3,163
TCKT_0065,2025-09-07 10:57:23,2025-09-10 04:57:23,Medium,Software,Login Issue,HR,App Support,Breached,66.0,Medium,System Upgrade,1,1,Sunday,9,193
TCKT_0066,2025-07-08 00:38:33,2025-07-09 01:38:33,High,Access,Access Request,IT,App Support,Met,25.0,High,Server Maintenance,0,0,Tuesday,7,151
TCKT_0067,2025-08-26 17:25:15,2025-08-29 06:25:15,High,Hardware,Keyboard Issue,Finance,App Support,Breached,61.0,High,None,1,0,Tuesday,8,234
TCKT_0068,2025-07-08 22:51:46,2025-07-11 00:51:46,High,Access,Account Lock,IT,Infra Team,Breached,50.0,High,Product Launch,1,0,Tuesday,7,226
TCKT_0069,2025-02-23 14:28:20,2025-02-23 17:28:20,Low,Network,WiFi Issue,Admin,Infra Team,Met,3.0,Medium,System Upgrade,1,1,Sunday,2,217
TCKT_0070,2025-04-11 01:38:44,2025-04-12 09:38:44,High,Network,VPN Issue,IT,App Support,Breached,32.0,Medium,None,1,0,Friday,4,181
TCKT_0071,2025-04-06 10:16:37,2025-04-08 00:16:37,Critical,Network,WiFi Issue,Finance,Hardware Support,Met,38.0,Medium,Product Launch,1,1,Sunday,4,122
TCKT_0072,2025-01-02 07:00:17,2025-01-03 10:00:17,Medium,Software,Login Issue,IT,Infra Team,Met,27.0,Medium,None,0,0,Thursday,1,212
TCKT_0073,2025-03-03 03:53:20,2025-03-05 20:53:20,Medium,Access,Password Reset,Admin,Infra Team,Breached,65.0,High,Server Maintenance,0,0,Monday,3,146
TCKT_0074,2025-06-06 22:51:41,2025-06-08 13:51:41,Low,Software,Login Issue,IT,App Support,Breached,39.0,High,None,0,0,Friday,6,235
TCKT_0075,2025-09-24 13:26:51,2025-09-24 15:26:51,High,Software,Login Issue,HR,Hardware Support,Met,2.0,Low,Server Maintenance,1,0,Wednesday,9,152
TCKT_0076,2025-01-12 06:32:04,2025-01-14 09:32:04,Critical,Hardware,Monitor Issue,IT,Infra Team,Breached,51.0,High,Security Patch,1,1,Sunday,1,114
TCKT_0077,2025-03-16 08:48:29,2025-03-17 22:48:29,Low,Network,Router Failure,Admin,Infra Team,Breached,38.0,Low,System Upgrade,0,1,Sunday,3,209
TCKT_0078,2025-06-04 02:19:17,2025-06-06 11:19:17,Medium,Access,Account Lock,IT,App Support,Breached,57.0,Medium,Security Patch,1,0,Wednesday,6,198
TCKT_0079,2025-03-30 06:00:33,2025-03-30 16:00:33,High,Software,Login Issue,IT,Infra Team,Met,10.0,High,None,1,1,Sunday,3,183
TCKT_0080,2025-04-12 23:33:28,2025-04-13 09:33:28,Medium,Network,WiFi Issue,Finance,App Support,Met,10.0,Medium,Product Launch,1,1,Saturday,4,172
TCKT_0081,2025-07-05 18:05:46,2025-07-07 09:05:46,Low,Access,Password Reset,IT,Hardware Support,Breached,39.0,Medium,None,0,1,Saturday,7,110
TCKT_0082,2025-08-16 06:56:58,2025-08-16 13:56:58,Low,Access,Access Request,Finance,App Support,Breached,7.0,Medium,Server Maintenance,0,1,Saturday,8,104
TCKT_0083,2024-12-06 04:21:16,2024-12-07 09:21:16,Medium,Network,Server Down,HR,Hardware Support,Breached,29.0,Low,Server Maintenance,1,0,Friday,12,172
TCKT_0084,2025-06-24 22:13:57,2025-06-26 05:13:57,Medium,Hardware,System Crash,Admin,Hardware Support,Breached,31.0,Medium,System Upgrade,0,0,Tuesday,6,234
TCKT_0085,2025-03-07 13:28:32,2025-03-09 13:28:32,Medium,Network,WiFi Issue,IT,App Support,Met,48.0,Low,System Upgrade,0,0,Friday,3,143
TCKT_0086,2025-04-30 10:31:57,2025-05-03 02:31:57,Medium,Access,Password Reset,Finance,Infra Team,Met,64.0,Medium,Server Maintenance,0,0,Wednesday,4,237
TCKT_0087,2025-07-24 14:23:04,2025-07-26 21:23:04,High,Software,Login Issue,Finance,Infra Team,Met,55.0,Low,Security Patch,1,0,Thursday,7,193
TCKT_0088,2024-11-21 10:35:09,2024-11-21 17:35:09,Critical,Access,Password Reset,IT,App Support,Met,7.0,High,Server Maintenance,1,0,Thursday,11,142
TCKT_0089,2025-09-10 18:19:13,2025-09-13 04:19:13,Medium,Access,Account Lock,HR,Infra Team,Met,58.0,High,Product Launch,1,0,Wednesday,9,193
TCKT_0090,2025-05-28 22:34:48,2025-05-29 18:34:48,Critical,Access,Password Reset,HR,Infra Team,Breached,20.0,Medium,System Upgrade,0,0,Wednesday,5,203
TCKT_0091,2025-01-17 00:14:38,2025-01-17 13:14:38,Medium,Access,Account Lock,IT,Hardware Support,Breached,13.0,Low,Server Maintenance,1,0,Friday,1,138
TCKT_0092,2025-02-12 22:09:16,2025-02-13 12:09:16,Low,Access,Account Lock,HR,Hardware Support,Breached,14.0,High,Server Maintenance,1,0,Wednesday,2,100
TCKT_0093,2025-02-25 10:03:08,2025-02-27 12:03:08,Low,Access,Password Reset,HR,Infra Team,Breached,50.0,High,Product Launch,0,0,Tuesday,2,124
TCKT_0094,2025-06-04 06:57:57,2025-06-06 18:57:57,Low,Network,WiFi Issue,Admin,Hardware Support,Met,60.0,Low,System Upgrade,0,0,Wednesday,6,227
TCKT_0095,2025-09-11 13:29:37,2025-09-12 17:29:37,Medium,Access,Password Reset,Admin,Infra Team,Met,28.0,High,System Upgrade,0,0,Thursday,9,154
TCKT_0096,2024-11-26 18:00:47,2024-11-28 04:00:47,Medium,Access,Password Reset,IT,Infra Team,Breached,34.0,Medium,Security Patch,0,0,Tuesday,11,135
TCKT_0097,2025-02-08 02:28:13,2025-02-09 13:28:13,Critical,Access,Access Request,HR,Infra Team,Met,35.0,Medium,None,0,1,Saturday,2,239
TCKT_0098,2025-07-15 13:33:27,2025-07-17 19:33:27,Low,Access,Account Lock,Finance,Infra Team,Breached,54.0,Low,Server Maintenance,1,0,Tuesday,7,205
TCKT_0099,2025-05-10 15:13:37,2025-05-13 08:13:37,Critical,Network,WiFi Issue,Finance,App Support,Breached,65.0,High,Product Launch,1,1,Saturday,5,231
TCKT_0100,2024-10-28 15:07:07,2024-10-31 15:07:07,Critical,Access,Password Reset,HR,Hardware Support,Breached,72.0,Low,Product Launch,1,0,Monday,10,246
TCKT_0101,2025-07-29 03:18:16,2025-07-29 07:18:16,High,Hardware,Monitor Issue,Admin,Infra Team,Breached,4.0,High,System Upgrade,1,0,Tuesday,7,222
TCKT_0102,2025-07-29 22:16:02,2025-08-01 22:16:02,Critical,Access,Password Reset,IT,App Support,Breached,72.0,Low,Server Maintenance,0,0,Tuesday,7,195
TCKT_0103,2025-02-25 21:46:02,2025-02-27 11:46:02,Critical,Hardware,Monitor Issue,Admin,Hardware Support,Met,38.0,High,Security Patch,1,0,Tuesday,2,204
TCKT_0104,2024-12-08 17:39:22,2024-12-10 17:39:22,Critical,Network,Server Down,Finance,Infra Team,Breached,48.0,Medium,System Upgrade,1,1,Sunday,12,188
TCKT_0105,2025-03-07 16:55:49,2025-03-09 13:55:49,Low,Hardware,Printer Issue,IT,Infra Team,Met,45.0,Low,Security Patch,1,0,Friday,3,237
TCKT_0106,2024-12-08 05:16:32,2024-12-08 09:16:32,Low,Access,Password Reset,HR,App Support,Breached,4.0,High,Security Patch,0,1,Sunday,12,207
TCKT_0107,2025-07-01 11:21:47,2025-07-02 08:21:47,Medium,Access,Password Reset,Finance,Infra Team,Breached,21.0,Low,Product Launch,0,0,Tuesday,7,125
TCKT_0108,2025-01-10 13:29:22,2025-01-12 04:29:22,Low,Hardware,Monitor Issue,IT,Infra Team,Breached,39.0,High,Product Launch,0,0,Friday,1,232
TCKT_0109,2024-12-24 12:14:56,2024-12-27 02:14:56,Medium,Hardware,Monitor Issue,Finance,Hardware Support,Breached,62.0,Low,System Upgrade,0,0,Tuesday,12,126
TCKT_0110,2025-07-15 22:01:44,2025-07-18 12:01:44,Medium,Access,Password Reset,Admin,Hardware Support,Breached,62.0,Medium,Security Patch,0,0,Tuesday,7,122
TCKT_0111,2025-05-08 07:14:01,2025-05-10 11:14:01,High,Network,WiFi Issue,Finance,App Support,Met,52.0,Low,Server Maintenance,0,0,Thursday,5,211
TCKT_0112,2025-03-30 20:28:29,2025-04-01 11:28:29,Medium,Hardware,System Crash,Admin,App Support,Breached,39.0,Medium,Product Launch,1,1,Sunday,3,212
TCKT_0113,2025-06-14 10:31:23,2025-06-16 21:31:23,Critical,Network,WiFi Issue,Admin,Hardware Support,Met,59.0,High,Product Launch,0,1,Saturday,6,144
TCKT_0114,2025-05-26 17:31:21,2025-05-26 23:31:21,Low,Access,Access Request,Finance,Hardware Support,Met,6.0,Low,System Upgrade,0,0,Monday,5,224
TCKT_0115,2025-01-11 19:47:42,2025-01-13 08:47:42,High,Network,WiFi Issue,Finance,Hardware Support,Met,37.0,Medium,System Upgrade,0,1,Saturday,1,115
TCKT_0116,2025-03-18 06:53:22,2025-03-19 03:53:22,Medium,Access,Password Reset,HR,Hardware Support,Breached,21.0,Medium,System Upgrade,1,0,Tuesday,3,208
TCKT_0117,2025-04-05 14:14:54,2025-04-07 22:14:54,Medium,Network,WiFi Issue,IT,App Support,Breached,56.0,Low,Server Maintenance,0,1,Saturday,4,169
TCKT_0118,2025-06-03 06:33:45,2025-06-05 11:33:45,High,Software,UI Bug,Finance,Hardware Support,Met,53.0,Medium,Server Maintenance,0,0,Tuesday,6,107
TCKT_0119,2025-05-10 00:43:46,2025-05-10 23:43:46,High,Software,Login Issue,IT,Infra Team,Met,23.0,High,Server Maintenance,0,1,Saturday,5,177
TCKT_0120,2025-06-17 01:29:36,2025-06-17 15:29:36,Critical,Software,App Crash,Finance,Infra Team,Met,14.0,Low,None,0,0,Tuesday,6,194
TCKT_0121,2025-07-25 01:22:59,2025-07-26 12:22:59,High,Network,Router Failure,Finance,Hardware Support,Breached,35.0,High,System Upgrade,1,0,Friday,7,213
TCKT_0122,2025-07-10 13:20:33,2025-07-11 10:20:33,High,Software,App Crash,Admin,Infra Team,Breached,21.0,High,Product Launch,0,0,Thursday,7,109
TCKT_0123,2025-04-02 19:11:11,2025-04-03 21:11:11,Medium,Software,Login Issue,Admin,Hardware Support,Breached,26.0,High,Server Maintenance,1,0,Wednesday,4,150
TCKT_0124,2024-10-20 09:51:41,2024-10-22 14:51:41,Medium,Hardware,Monitor Issue,Admin,Infra Team,Met,53.0,Medium,Server Maintenance,1,1,Sunday,10,137
TCKT_0125,2025-01-30 23:11:46,2025-01-31 23:11:46,Low,Access,Account Lock,Admin,Infra Team,Breached,24.0,Low,None,0,0,Thursday,1,188
TCKT_0126,2025-06-20 23:50:30,2025-06-23 01:50:30,High,Software,App Crash,IT,App Support,Met,50.0,High,Product Launch,0,0,Friday,6,206
TCKT_0127,2025-08-18 17:15:26,2025-08-21 01:15:26,Critical,Network,VPN Issue,Finance,Infra Team,Met,56.0,Low,Product Launch,0,0,Monday,8,183
TCKT_0128,2025-04-05 15:57:59,2025-04-07 02:57:59,Critical,Access,Access Request,IT,App Support,Breached,35.0,Low,System Upgrade,0,1,Saturday,4,107
TCKT_0129,2025-08-11 22:48:26,2025-08-13 10:48:26,Critical,Access,Account Lock,Admin,Infra Team,Breached,36.0,Low,Server Maintenance,0,0,Monday,8,123
TCKT_0130,2025-03-11 20:57:28,2025-03-13 20:57:28,Medium,Access,Password Reset,HR,App Support,Breached,48.0,High,System Upgrade,0,0,Tuesday,3,189
TCKT_0131,2024-12-01 11:00:58,2024-12-03 19:00:58,High,Access,Access Request,Finance,Infra Team,Breached,56.0,Low,Product Launch,1,1,Sunday,12,181
TCKT_0132,2025-08-05 06:59:14,2025-08-07 04:59:14,Critical,Software,App Crash,Admin,App Support,Breached,46.0,Medium,Server Maintenance,0,0,Tuesday,8,143
TCKT_0133,2025-06-09 05:15:29,2025-06-10 10:15:29,Low,Hardware,Monitor Issue,HR,Infra Team,Breached,29.0,Medium,None,1,0,Monday,6,176
TCKT_0134,2025-06-02 20:54:26,2025-06-05 05:54:26,High,Hardware,Monitor Issue,HR,Infra Team,Breached,57.0,High,Security Patch,1,0,Monday,6,140
TCKT_0135,2025-10-08 08:05:54,2025-10-08 19:05:54,High,Network,WiFi Issue,Finance,Hardware Support,Met,11.0,Medium,System Upgrade,0,0,Wednesday,10,214
TCKT_0136,2025-06-10 23:55:48,2025-06-12 08:55:48,Medium,Network,Server Down,IT,Infra Team,Breached,33.0,High,System Upgrade,1,0,Tuesday,6,128
TCKT_0137,2025-04-18 14:06:51,2025-04-20 20:06:51,Critical,Access,Password Reset,IT,Hardware Support,Breached,54.0,Low,Server Maintenance,0,0,Friday,4,215
TCKT_0138,2025-08-12 09:52:37,2025-08-14 03:52:37,Critical,Network,VPN Issue,IT,Infra Team,Breached,42.0,Low,Product Launch,1,0,Tuesday,8,140
TCKT_0139,2025-06-29 16:32:30,2025-06-30 23:32:30,Medium,Network,Server Down,HR,Hardware Support,Met,31.0,High,None,0,1,Sunday,6,171
TCKT_0140,2024-11-17 19:42:31,2024-11-19 03:42:31,Medium,Access,Password Reset,Finance,App Support,Breached,32.0,Medium,Security Patch,1,1,Sunday,11,211
TCKT_0141,2024-12-06 07:23:08,2024-12-08 03:23:08,Critical,Software,Update Error,IT,App Support,Breached,44.0,High,None,1,0,Friday,12,183
TCKT_0142,2025-03-13 23:29:29,2025-03-15 04:29:29,Critical,Access,Account Lock,HR,Hardware Support,Breached,29.0,Low,Security Patch,0,0,Thursday,3,189
TCKT_0143,2025-07-28 11:14:28,2025-07-31 03:14:28,High,Network,WiFi Issue,IT,Infra Team,Breached,64.0,Low,Server Maintenance,1,0,Monday,7,213
TCKT_0144,2024-10-27 14:10:03,2024-10-29 02:10:03,Critical,Hardware,Monitor Issue,Admin,Hardware Support,Breached,36.0,Low,Product Launch,1,1,Sunday,10,144
TCKT_0145,2025-04-22 16:15:57,2025-04-24 11:15:57,Critical,Access,Access Request,Finance,App Support,Met,43.0,High,System Upgrade,0,0,Tuesday,4,103
TCKT_0146,2025-06-11 20:33:17,2025-06-12 10:33:17,Medium,Software,App Crash,IT,Hardware Support,Breached,14.0,Low,None,0,0,Wednesday,6,172
TCKT_0147,2024-12-25 15:48:36,2024-12-26 14:48:36,Medium,Access,Access Request,Admin,Infra Team,Breached,23.0,Low,System Upgrade,1,0,Wednesday,12,212
TCKT_0148,2025-01-30 12:30:09,2025-01-30 14:30:09,Critical,Network,Server Down,Finance,Infra Team,Met,2.0,Medium,Product Launch,1,0,Thursday,1,107
TCKT_0149,2025-09-03 14:52:02,2025-09-05 03:52:02,Medium,Access,Account Lock,IT,App Support,Breached,37.0,High,System Upgrade,1,0,Wednesday,9,106
TCKT_0150,2024-10-19 04:59:02,2024-10-22 04:59:02,Critical,Software,Login Issue,Admin,Hardware Support,Breached,72.0,High,Product Launch,1,1,Saturday,10,243
TCKT_0151,2024-11-30 03:06:34,2024-11-30 20:06:34,Critical,Access,Account Lock,Admin,App Support,Met,17.0,Low,Security Patch,1,1,Saturday,11,124
TCKT_0152,2025-06-12 12:44:59,2025-06-14 10:44:59,High,Access,Access Request,Admin,Infra Team,Met,46.0,Medium,Product Launch,1,0,Thursday,6,164
TCKT_0153,2025-02-26 07:41:50,2025-03-01 07:41:50,Low,Software,App Crash,Finance,Hardware Support,Met,72.0,Low,System Upgrade,0,0,Wednesday,2,218
TCKT_0154,2025-09-05 16:36:39,2025-09-06 04:36:39,Medium,Software,UI Bug,Admin,Hardware Support,Met,12.0,Medium,Server Maintenance,0,0,Friday,9,165
TCKT_0155,2025-04-15 01:11:37,2025-04-16 09:11:37,Critical,Network,WiFi Issue,Finance,Hardware Support,Breached,32.0,Medium,Server Maintenance,0,0,Tuesday,4,249
TCKT_0156,2025-04-16 11:34:30,2025-04-17 18:34:30,Medium,Software,Login Issue,Finance,App Support,Breached,31.0,High,Security Patch,1,0,Wednesday,4,176
TCKT_0157,2025-02-12 09:35:10,2025-02-12 16:35:10,Medium,Software,Login Issue,Finance,Hardware Support,Breached,7.0,Low,Server Maintenance,0,0,Wednesday,2,105
TCKT_0158,2025-06-05 23:22:43,2025-06-08 13:22:43,Medium,Access,Account Lock,Finance,App Support,Breached,62.0,Low,None,0,0,Thursday,6,185
TCKT_0159,2025-02-02 17:36:56,2025-02-05 04:36:56,Medium,Software,Update Error,Admin,Infra Team,Met,59.0,Low,Security Patch,1,1,Sunday,2,239
TCKT_0160,2025-01-16 20:49:17,2025-01-18 17:49:17,High,Access,Access Request,HR,Hardware Support,Met,45.0,High,Server Maintenance,0,0,Thursday,1,125
